content,content_tokens
you are an ai pair programmer working  on my existing project called mlpreprocessingtool,"['you', 'are', 'an', 'ai', 'pair', 'programmer', 'working', 'on', 'my', 'existing', 'project', 'called', 'mlpreprocessingtool']"
this app already loads datasets csvexcel and does basic preprocessingeda in a modular way ,"['this', 'app', 'already', 'loads', 'datasets', 'csvexcel', 'and', 'does', 'basic', 'preprocessingeda', 'in', 'a', 'modular', 'way']"
,[]
 overall goal,"['overall', 'goal']"
,[]
upgrade this app to support an industrylevel data preprocessing pipeline for tabular datasets in a way that,"['upgrade', 'this', 'app', 'to', 'support', 'an', 'industrylevel', 'data', 'preprocessing', 'pipeline', 'for', 'tabular', 'datasets', 'in', 'a', 'way', 'that']"
,[]
keeps all existing functionality working no breaking changes,"['keeps', 'all', 'existing', 'functionality', 'working', 'no', 'breaking', 'changes']"
,[]
adds missing preprocessing steps only if they are not already implemented,"['adds', 'missing', 'preprocessing', 'steps', 'only', 'if', 'they', 'are', 'not', 'already', 'implemented']"
,[]
organizes the preprocessing steps in a clear logical order like a real ml production pipeline,"['organizes', 'the', 'preprocessing', 'steps', 'in', 'a', 'clear', 'logical', 'order', 'like', 'a', 'real', 'ml', 'production', 'pipeline']"
,[]
teaches the user while they use it,"['teaches', 'the', 'user', 'while', 'they', 'use', 'it']"
,[]
for every step show what the step does why it is needed and why it comes after the previous step,"['for', 'every', 'step', 'show', 'what', 'the', 'step', 'does', 'why', 'it', 'is', 'needed', 'and', 'why', 'it', 'comes', 'after', 'the', 'previous', 'step']"
,[]
the ui should feel like an interactive tutorial  practical tool,"['the', 'ui', 'should', 'feel', 'like', 'an', 'interactive', 'tutorial', 'practical', 'tool']"
,[]
do not blindly refactor or optimize everything,"['do', 'not', 'blindly', 'refactor', 'or', 'optimize', 'everything']"
only change code where necessary to add features improve structure or cleanly integrate the pipeline,"['only', 'change', 'code', 'where', 'necessary', 'to', 'add', 'features', 'improve', 'structure', 'or', 'cleanly', 'integrate', 'the', 'pipeline']"
,[]
 context about the app,"['context', 'about', 'the', 'app']"
,[]
app type streamlit,"['app', 'type', 'streamlit']"
,[]
structure modular indexpy as entry point separate pagesmodules for features eg upload preprocessing eda etc,"['structure', 'modular', 'indexpy', 'as', 'entry', 'point', 'separate', 'pagesmodules', 'for', 'features', 'eg', 'upload', 'preprocessing', 'eda', 'etc']"
,[]
goal let users upload a dataset and perform mlready preprocessing,"['goal', 'let', 'users', 'upload', 'a', 'dataset', 'and', 'perform', 'mlready', 'preprocessing']"
,[]
when you explore the repo,"['when', 'you', 'explore', 'the', 'repo']"
,[]
first scan the existing modules and understand what is already implemented upload missing values encoding scaling etc,"['first', 'scan', 'the', 'existing', 'modules', 'and', 'understand', 'what', 'is', 'already', 'implemented', 'upload', 'missing', 'values', 'encoding', 'scaling', 'etc']"
,[]
then map my current functionality to the desired pipeline below,"['then', 'map', 'my', 'current', 'functionality', 'to', 'the', 'desired', 'pipeline', 'below']"
,[]
finally add missing pieces  improve ux around the pipeline and explanations,"['finally', 'add', 'missing', 'pieces', 'improve', 'ux', 'around', 'the', 'pipeline', 'and', 'explanations']"
,[]
 target pipeline what you must implement,"['target', 'pipeline', 'what', 'you', 'must', 'implement']"
,[]
